MAT 150 CALCULUS I
"Limits, continuity, the derivative, rules of differentiation, applications of the derivative, extrema, curve sketching, and optimization.  This course meets for an additional 1-hour lab session each week for enrichment and problem solving."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.1,4,Yevgenia,Kashina,2:40 PM,4:10 PM,201,25519,Lincoln Park Campus,"Monday,Wednesday"
4.8,4,Itir,Mogultay,4:20 PM,5:50 PM,202,25520,Lincoln Park Campus,"Tuesday,Thursday"
N/A,4,Staff,Staff,4:20 PM,5:20 PM,2L1,25572,Lincoln Park Campus,Tuesday
N/A,4,Staff,Staff,1:00 PM,2:00 PM,2L2,25573,Lincoln Park Campus,Friday
