PRF 212 ACTING II
"Second course in a 3 course sequence.  Scene study work begins. Students explore the relationship of the self to the role through the use of intention, relationship, environment, and text. A variety of playscripts are drawn from contemporary theatre."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,4,John,Jenkins,3:10 PM,5:00 PM,201,25271,Lincoln Park Campus,"Tuesday,Thursday"
N/A,4,John,Jenkins,1:10 PM,3:00 PM,202,25272,Lincoln Park Campus,"Tuesday,Thursday"
