CSC 423 DATA ANALYSIS AND REGRESSION
"Multiple regression and correlation, residual analysis, analysis of variance, and robustness. These topics will be studied from a data analytic perspective, supported by an investigation of available statistical software.  PREREQUISITE(S): IT 403"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.5,4,William,Qualls,5:45 PM,9:00 PM,801,22377,Loop Campus,Monday
3.5,4,William,Qualls,5:45 PM,9:00 PM,802,23080,Loop Campus,Thursday
3.5,4,William,Qualls,,,810,22378,OnLine,
3.5,4,William,Qualls,,,811,23081,OnLine,
