EA 506 APPLIED INQUIRY PROJECT PROPOSAL II
"Each student will design his/her EA 528 Applied Inquiry Project, in consultation with the faculty mentor and a project advisor. Proposal I emphasizes selecting a project topic/focus, identifying the primary users, and conducting a literature review. Proposal II emphasizes shaping and designing the inquiry project, and outlining the final product(s). Upon completion of both phases, the proposal must be approved by the Academic Committee and Graduate Student Program Review Committee (GSPRC)."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,0.5,Catherine,Marienau,12:00 AM,12:00 AM,201,23608,Loop Campus,
N/A,0.5,Dan,Hibbler,12:00 AM,12:00 AM,202,23997,Loop Campus,
N/A,0.5,Susan,McGury,12:00 AM,12:00 AM,203,23998,Loop Campus,
N/A,0.5,Caroline,Kisiel,,,204,26199,Loop Campus,
