HCI 406 WEB SITE DESIGN FOR HCI
"Web design introduced in a user-centered context. Application of visual design principles and common design patterns for web sites and mobile interfaces. Page markup using HTML and CSS addressing responsive web design, accessibility, and search engine optimization. PREREQUISITE(S): None"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,4,Daniel,Mittleman,5:45 PM,9:00 PM,801,22478,Loop Campus,Wednesday
N/A,4,Daniel,Mittleman,,,810,22479,OnLine,
