MKT 315 STRATEGIC TOOLS FOR MARKETERS
"This course provides depth of knowledge to understand and apply important and relevant concepts in marketing such as market demand forecast, product positioning, pricing, marketing performance assessment, and product design.  The course covers several hands-on tools that are frequently used by marketers and business-people to generate deep customer insight to aid decision-making in the above-mentioned areas."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.9,4,Zafar,Iqbal,5:45 PM,9:00 PM,801,24725,Loop Campus,Tuesday
3.87,4,Mary,Vermillion,5:45 PM,9:00 PM,802,25138,Loop Campus,Thursday
