DC 499 INTERNSHIPS IN MEDIA AND DESIGN
"This is an internship/independent study course for graduate students, which offers the opportunity to reflect on an internship while gaining professional experience, industry contact and referrals while still in school. Opportunities in post-production, motion picture production, advertising, television, animation, game design, graphic design, motion graphics and interactive media can all qualify for the course. Students will work independently on class assignments. Assignments will be determined by the instructor and based on the number of credits in which the student is enrolled. Admission to the program requires consent of the internship course instructor after verification of the student's internship.  PREREQUISITE(S): Internship"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.75,1,Anuradha,Rana,,,801,22647,Loop Campus,
4.75,1,Anuradha,Rana,,,802,22648,Loop Campus,
4.75,1,Anuradha,Rana,,,803,22649,Loop Campus,
4.75,1,Anuradha,Rana,,,804,22650,Loop Campus,
