MSW 592 ADVANCED FIELD EDUCATION II
"This course is the second in the final, three-part advanced field education sequence.This course also requires enrollment in an approved field agency placement for the entire academic year. The process for field placement and supporting policies are further articulated in the student handbook and the field education manual. This course is designed to assist students in processing the many theoretical, analytical, and practice skills needed to practice advanced social work in community settings. Attention is also paid to the unique considerations of women and representatives of other historically- marginalized groups in organizational leadership roles through required learning objectives and tasks."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
0.0,4,Sharon,Kohli,10:00 AM,1:15 PM,201,20883,Loop Campus,Saturday
N/A,4,Sonya,Crabtree-Nelson,10:00 AM,1:15 PM,202,20884,Loop Campus,Saturday
