FA 113 MANAGING CHANGE FOR ORGANIZATIONAL LEADERSHIP
"If change were simple, all organizations would be effective and thrive in the presence of great challenges.  Implementing change involves complex skills combining visionary leadership with project and other management skills.  This 5-week class provides an introduction into the management and leadership skills change agents use on a regular basis as they implement organizational change.  The focus of the class will be departmental or division change to be most relevant to SNL students.  It will provide skill development of both managerial and interpersonal skill elements crucial to the success of change implementations."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,2,Elisabeth,Ramos-Torrescano,12:00 AM,12:00 AM,801,24156,OnLine,
N/A,2,Elisabeth,Ramos-Torrescano,12:00 AM,12:00 AM,802,24157,OnLine,
3.3,2,Jill,Joachim,,,803,26385,OnLine,
3.3,2,Jill,Joachim,,,804,26386,OnLine,
