CHN 102 BASIC CHINESE II
This course is the second part of the three-quarter sequence on Basic Chinese. It helps students develop basic conversation skills as well as modern Chinese literacy. The dialect to be taught in the course is Mandarin. Simplified Chinese characters are mainly used in reading and writing although students are also exposed to the traditional form of Chinese characters throughout the course.
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,4,Staff,Staff,11:20 AM,12:50 PM,201,20436,Lincoln Park Campus,"Monday,Wednesday"
N/A,4,Staff,Staff,11:20 AM,12:50 PM,202,21455,Lincoln Park Campus,"Tuesday,Thursday"
