CSC 403 DATA STRUCTURES II
"This is the second course on data structures in Java for graduate students. The course covers trees, heaps, associative arrays, hash tables, tries, and data structures for representing graphs. The implementation of the basic operations on each data structure are discussed and analyzed in terms of their efficiency. PREREQUISITE(S): CSC 402"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.8,4,Eugene,Backlin,5:45 PM,9:00 PM,801,22847,Loop Campus,Wednesday
3.8,4,Eugene,Backlin,,,810,22848,OnLine,
