IS 215 ANALYSIS AND DESIGN TECHNIQUES
"This course presents a structured approach to analysis and design of an information system for a business. The systems development life cycle will be defined and described. Process descriptions, user and task analysis for interface development, prototyping, data flow and entity relationship diagramming will be presented. Case studies that promote critical-thinking skills provide the context for these techniques. Formerly IT 215.  PREREQUISITE(S): none"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.4,4,Thomas,Long,11:50 AM,1:20 PM,501,22498,Loop Campus,"Monday,Wednesday"
4.4,4,Thomas,Long,,,510,22499,OnLine,
