THE 205 HISTORY OF DRAMATIC LITERATURE
"Second course in a 3 course sequence.  A study of the development of playscripts, the physical theatre, and means of production from ancient Greek and Roman societies through contemporary theatre. The course emphasizes theatre's changing role in society."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,4,Brian,McKnight,8:00 AM,9:30 AM,201,25251,Lincoln Park Campus,"Monday,Wednesday"
N/A,4,William,O'Connor,8:00 AM,9:30 AM,202,25252,Lincoln Park Campus,"Monday,Wednesday"
4.72,4,Coya,Brownrigg,2:40 PM,4:10 PM,203,25253,Lincoln Park Campus,"Monday,Wednesday"
N/A,4,William,O'Connor,2:40 PM,4:10 PM,204,25254,Lincoln Park Campus,"Monday,Wednesday"
