DC 272 INTRODUCTION TO TELEVISION WRITING
"The primary objective of this course is to learn how to write for television, for both network and cable, focusing on fiction and non-fiction TV programs including news, talk, documentaries, dramas and comedies.
The course will assist students in improving their writing skills as well as help them understand the basic approaches and techniques in writing for television. 
Prerequisites: DC 201"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.5,4,Michael,McCarthy,1:30 PM,4:45 PM,501,22621,Loop Campus,Tuesday
3.5,4,Michael,McCarthy,1:30 PM,4:45 PM,502,26612,Loop Campus,Thursday
