PRF 582 DIRECTING I
This course covers the basics of the directing process with an emphasis on textual analysis.  Lecture discussion and performance projects are utilized to develop a common understanding and vocabulary useable in the wide variety of theatrical situations the contemporary director is likely to confront.  The final project of the class is the direction of a short play.
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,3,Jeanne,Williams,9:30 AM,11:00 AM,201,25310,Lincoln Park Campus,"Monday,Wednesday"
N/A,3,Elizabeth,Portes,9:30 AM,11:00 AM,201,25310,Lincoln Park Campus,"Monday,Wednesday"
