APK 150 PIANO
"Advanced individual instruction in piano performance at the undergraduate level. Undergraduate music students are limited to 4 credits of applied lessons in any given quarter, and may not exceed a total of 48 credits of applied lessons over their entire course of study."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,21755,George,Vatchnadze,12:00 AM,12:00 AM,201,21755,Lincoln Park Campus,
N/A,Open,2,21756,George,Vatchnadze,12:00 AM,12:00 AM,202,21756,Lincoln Park Campus,
N/A,Open,2,22022,Kyomi,Sugimura,12:00 AM,12:00 AM,203,22022,Lincoln Park Campus,
N/A,Open,2,22023,Kyomi,Sugimura,12:00 AM,12:00 AM,204,22023,Lincoln Park Campus,
N/A,Open,2,22074,Vakhtang,Kodanashvili,12:00 AM,12:00 AM,205,22074,Lincoln Park Campus,
N/A,Open,2,22086,Vakhtang,Kodanashvili,12:00 AM,12:00 AM,206,22086,Lincoln Park Campus,
