AP 587 SUPPLEMENTAL COMPETENCE III
"Through this competence area, students identify an additional area from among Theories, Research Methods, Specialized Skills, Communication Modes, Organizational/Interpersonal Dynamics, Larger Contexts, Ethical Issues and Reflection in/on Practice regarding which to develop and demonstrate competence. (AP-586, AP-587, AP-588 and AP-589 collectively serve as a culmination option for the MAAPS degree.)"
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,2,Catherine,Marienau,12:00 AM,12:00 AM,201,23687,Off Campus,
N/A,2,Arieahn,Matamonasa-Bennett,12:00 AM,12:00 AM,202,23688,Off Campus,
N/A,2,Russell,Rogers,12:00 AM,12:00 AM,203,23689,Off Campus,
N/A,2,Gabriele,Strohschen,12:00 AM,12:00 AM,204,23690,Off Campus,
N/A,2,Michelle,Navarre Cleary,12:00 AM,12:00 AM,205,23691,Off Campus,
N/A,2,Ruth,Gannon Cook,12:00 AM,12:00 AM,206,23692,Off Campus,
5.0,2,Ann,Stanford,12:00 AM,12:00 AM,207,24132,Off Campus,
N/A,2,Caroline,Kisiel,,,208,26186,Off Campus,
