JZZ 413 JAZZ GUITAR
"Advanced individual instruction in jazz guitar at the graduate level. Graduate music students are limited to 4 credits of applied lessons in any given quarter, and may not exceed a total of 24 credits of applied lessons over their entire course of study."
RMP Overall,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.6,2,Robert,Palmieri,12:00 AM,12:00 AM,201,22043,Lincoln Park Campus,
4.6,2,Robert,Palmieri,12:00 AM,12:00 AM,202,22057,Lincoln Park Campus,
